"Row.names" "ENSG00000077254.14" "sample_type" "patient" "project_id" "fc"
"TCGA-A2-A0ST-01A-12R-A084-07" 24.9537 "Primary Tumor" "TCGA-A2-A0ST" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0SU-01A-11R-A084-07" 58.1223 "Primary Tumor" "TCGA-A2-A0SU" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0SV-01A-11R-A084-07" 24.8798 "Primary Tumor" "TCGA-A2-A0SV" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0SW-01A-11R-A084-07" 23.0019 "Primary Tumor" "TCGA-A2-A0SW" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0SX-01A-12R-A084-07" 41.508 "Primary Tumor" "TCGA-A2-A0SX" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0SY-01A-31R-A084-07" 46.0563 "Primary Tumor" "TCGA-A2-A0SY" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0T0-01A-22R-A084-07" 15.7242 "Primary Tumor" "TCGA-A2-A0T0" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0T1-01A-21R-A084-07" 18.6801 "Primary Tumor" "TCGA-A2-A0T1" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0T2-01A-11R-A084-07" 20.0431 "Primary Tumor" "TCGA-A2-A0T2" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0T3-01A-21R-A115-07" 42.0033 "Primary Tumor" "TCGA-A2-A0T3" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0T4-01A-31R-A084-07" 29.3064 "Primary Tumor" "TCGA-A2-A0T4" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0T5-01A-21R-A084-07" 31.0582 "Primary Tumor" "TCGA-A2-A0T5" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0T6-01A-11R-A084-07" 52.6571 "Primary Tumor" "TCGA-A2-A0T6" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0T7-01A-21R-A084-07" 55.7492 "Primary Tumor" "TCGA-A2-A0T7" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YC-01A-11R-A109-07" 58.9817 "Primary Tumor" "TCGA-A2-A0YC" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YD-01A-11R-A109-07" 51.0368 "Primary Tumor" "TCGA-A2-A0YD" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YE-01A-11R-A109-07" 25.1633 "Primary Tumor" "TCGA-A2-A0YE" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YF-01A-21R-A109-07" 125.3173 "Primary Tumor" "TCGA-A2-A0YF" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YG-01A-21R-A109-07" 51.1293 "Primary Tumor" "TCGA-A2-A0YG" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YH-01A-11R-A109-07" 25.9088 "Primary Tumor" "TCGA-A2-A0YH" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YI-01A-31R-A10J-07" 81.4873 "Primary Tumor" "TCGA-A2-A0YI" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YJ-01A-11R-A109-07" 24.1626 "Primary Tumor" "TCGA-A2-A0YJ" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YK-01A-22R-A109-07" 54.6129 "Primary Tumor" "TCGA-A2-A0YK" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YL-01A-21R-A109-07" 65.2775 "Primary Tumor" "TCGA-A2-A0YL" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YM-01A-11R-A109-07" 74.9898 "Primary Tumor" "TCGA-A2-A0YM" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A0YT-01A-11R-A109-07" 41.0225 "Primary Tumor" "TCGA-A2-A0YT" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A1FV-01A-11R-A13Q-07" 58.052 "Primary Tumor" "TCGA-A2-A1FV" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A1FW-01A-11R-A13Q-07" 73.9813 "Primary Tumor" "TCGA-A2-A1FW" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A1FX-01A-11R-A13Q-07" 43.4336 "Primary Tumor" "TCGA-A2-A1FX" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A1FZ-01A-51R-A14D-07" 101.4152 "Primary Tumor" "TCGA-A2-A1FZ" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A1G0-01A-11R-A13Q-07" 68.6255 "Primary Tumor" "TCGA-A2-A1G0" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A1G1-01A-21R-A13Q-07" 51.6881 "Primary Tumor" "TCGA-A2-A1G1" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A1G4-01A-11R-A13Q-07" 55.1552 "Primary Tumor" "TCGA-A2-A1G4" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A1G6-01A-11R-A13Q-07" 63.3094 "Primary Tumor" "TCGA-A2-A1G6" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A259-01A-11R-A16F-07" 40.647 "Primary Tumor" "TCGA-A2-A259" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A25A-01A-12R-A16F-07" 47.5212 "Primary Tumor" "TCGA-A2-A25A" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A25B-01A-11R-A169-07" 71.6273 "Primary Tumor" "TCGA-A2-A25B" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A25C-01A-11R-A169-07" 51.1428 "Primary Tumor" "TCGA-A2-A25C" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A25D-01A-12R-A16F-07" 19.239 "Primary Tumor" "TCGA-A2-A25D" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A25E-01A-11R-A169-07" 55.9622 "Primary Tumor" "TCGA-A2-A25E" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A25F-01A-11R-A169-07" 46.9734 "Primary Tumor" "TCGA-A2-A25F" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3KC-01A-11R-A213-07" 31.578 "Primary Tumor" "TCGA-A2-A3KC" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3KD-01A-12R-A213-07" 38.9182 "Primary Tumor" "TCGA-A2-A3KD" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3XS-01A-11R-A22U-07" 27.569 "Primary Tumor" "TCGA-A2-A3XS" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3XT-01A-11R-A22U-07" 36.4706 "Primary Tumor" "TCGA-A2-A3XT" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3XU-01A-12R-A22U-07" 14.836 "Primary Tumor" "TCGA-A2-A3XU" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3XV-01A-21R-A239-07" 11.9448 "Primary Tumor" "TCGA-A2-A3XV" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3XW-01A-11R-A239-07" 11.009 "Primary Tumor" "TCGA-A2-A3XW" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3XX-01A-21R-A239-07" 21.5077 "Primary Tumor" "TCGA-A2-A3XX" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3XY-01A-11R-A239-07" 24.9367 "Primary Tumor" "TCGA-A2-A3XY" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3XZ-01A-42R-A239-07" 42.2169 "Primary Tumor" "TCGA-A2-A3XZ" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A3Y0-01A-11R-A239-07" 30.3353 "Primary Tumor" "TCGA-A2-A3Y0" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A4RW-01A-21R-A266-07" 36.6945 "Primary Tumor" "TCGA-A2-A4RW" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A4RX-01A-11R-A266-07" 44.3967 "Primary Tumor" "TCGA-A2-A4RX" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A4RY-01A-31R-A266-07" 44.9901 "Primary Tumor" "TCGA-A2-A4RY" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A4S0-01A-21R-A266-07" 85.8499 "Primary Tumor" "TCGA-A2-A4S0" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A4S1-01A-21R-A266-07" 21.5684 "Primary Tumor" "TCGA-A2-A4S1" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A4S2-01A-12R-A266-07" 33.1138 "Primary Tumor" "TCGA-A2-A4S2" "TCGA-BRCA" 0.821642066058639
"TCGA-A2-A4S3-01A-21R-A266-07" 25.7476 "Primary Tumor" "TCGA-A2-A4S3" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0CD-01A-11R-A00Z-07" 57.9822 "Primary Tumor" "TCGA-A7-A0CD" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0CE-01A-11R-A00Z-07" 39.6661 "Primary Tumor" "TCGA-A7-A0CE" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0CE-11A-21R-A089-07" 40.2698 "Solid Tissue Normal" "TCGA-A7-A0CE" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0CG-01A-12R-A056-07" 39.915 "Primary Tumor" "TCGA-A7-A0CG" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0CH-01A-21R-A00Z-07" 72.1677 "Primary Tumor" "TCGA-A7-A0CH" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0CH-11A-32R-A089-07" 36.737 "Solid Tissue Normal" "TCGA-A7-A0CH" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0CJ-01A-21R-A00Z-07" 36.091 "Primary Tumor" "TCGA-A7-A0CJ" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0D9-01A-31R-A056-07" 45.9288 "Primary Tumor" "TCGA-A7-A0D9" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0D9-11A-53R-A089-07" 50.772 "Solid Tissue Normal" "TCGA-A7-A0D9" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0DA-01A-31R-A115-07" 27.4407 "Primary Tumor" "TCGA-A7-A0DA" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0DB-01A-11R-A00Z-07" 26.4361 "Primary Tumor" "TCGA-A7-A0DB" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0DB-01A-11R-A277-07" 35.4662 "Primary Tumor" "TCGA-A7-A0DB" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0DB-11A-33R-A089-07" 39.3008 "Solid Tissue Normal" "TCGA-A7-A0DB" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0DC-01A-11R-A00Z-07" 22.7256 "Primary Tumor" "TCGA-A7-A0DC" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A0DC-11A-41R-A089-07" 53.265 "Solid Tissue Normal" "TCGA-A7-A0DC" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13D-01A-13R-A12P-07" 22.4378 "Primary Tumor" "TCGA-A7-A13D" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13D-01A-13R-A277-07" 37.0675 "Primary Tumor" "TCGA-A7-A13D" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13E-01A-11R-A12P-07" 23.6912 "Primary Tumor" "TCGA-A7-A13E" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13E-01A-11R-A277-07" 37.4359 "Primary Tumor" "TCGA-A7-A13E" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13E-11A-61R-A12P-07" 56.6858 "Solid Tissue Normal" "TCGA-A7-A13E" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13F-01A-11R-A12P-07" 43.1802 "Primary Tumor" "TCGA-A7-A13F" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13F-11A-42R-A12P-07" 51.9827 "Solid Tissue Normal" "TCGA-A7-A13F" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13G-01A-11R-A13Q-07" 41.3018 "Primary Tumor" "TCGA-A7-A13G" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13G-11A-51R-A13Q-07" 46.9005 "Solid Tissue Normal" "TCGA-A7-A13G" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A13H-01A-11R-A22K-07" 38.1299 "Primary Tumor" "TCGA-A7-A13H" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A26E-01A-11R-A169-07" 68.62 "Primary Tumor" "TCGA-A7-A26E" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A26E-01A-11R-A277-07" 54.2052 "Primary Tumor" "TCGA-A7-A26E" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A26F-01A-21R-A169-07" 27.9202 "Primary Tumor" "TCGA-A7-A26F" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A26G-01A-21R-A169-07" 39.4139 "Primary Tumor" "TCGA-A7-A26G" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A26H-01A-11R-A169-07" 50.0461 "Primary Tumor" "TCGA-A7-A26H" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A26I-01A-11R-A169-07" 29.3941 "Primary Tumor" "TCGA-A7-A26I" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A26J-01A-11R-A169-07" 66.1801 "Primary Tumor" "TCGA-A7-A26J" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A26J-01A-11R-A277-07" 44.641 "Primary Tumor" "TCGA-A7-A26J" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A2KD-01A-31R-A21T-07" 60.1591 "Primary Tumor" "TCGA-A7-A2KD" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A3IY-01A-21R-A21T-07" 38.7122 "Primary Tumor" "TCGA-A7-A3IY" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A3IZ-01A-11R-A213-07" 66.5797 "Primary Tumor" "TCGA-A7-A3IZ" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A3J0-01A-11R-A213-07" 46.3045 "Primary Tumor" "TCGA-A7-A3J0" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A3J1-01A-11R-A213-07" 32.3127 "Primary Tumor" "TCGA-A7-A3J1" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A3RF-01A-11R-A22K-07" 37.4919 "Primary Tumor" "TCGA-A7-A3RF" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A425-01A-11R-A24H-07" 24.9487 "Primary Tumor" "TCGA-A7-A425" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A426-01A-22R-A24H-07" 34.0605 "Primary Tumor" "TCGA-A7-A426" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A4SA-01A-11R-A266-07" 35.8466 "Primary Tumor" "TCGA-A7-A4SA" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A4SB-01A-21R-A266-07" 30.4517 "Primary Tumor" "TCGA-A7-A4SB" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A4SC-01A-12R-A266-07" 49.9369 "Primary Tumor" "TCGA-A7-A4SC" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A4SD-01A-11R-A266-07" 37.8609 "Primary Tumor" "TCGA-A7-A4SD" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A4SE-01A-11R-A266-07" 52.7103 "Primary Tumor" "TCGA-A7-A4SE" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A4SF-01A-11R-A266-07" 28.3585 "Primary Tumor" "TCGA-A7-A4SF" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A56D-01A-11R-A27Q-07" 7.3517 "Primary Tumor" "TCGA-A7-A56D" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A5ZV-01A-11R-A28M-07" 7.293 "Primary Tumor" "TCGA-A7-A5ZV" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A5ZW-01A-12R-A29R-07" 45.8075 "Primary Tumor" "TCGA-A7-A5ZW" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A5ZX-01A-12R-A29R-07" 45.5879 "Primary Tumor" "TCGA-A7-A5ZX" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A6VV-01A-22R-A33J-07" 30.0567 "Primary Tumor" "TCGA-A7-A6VV" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A6VW-01A-21R-A33J-07" 18.8192 "Primary Tumor" "TCGA-A7-A6VW" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A6VX-01A-12R-A33J-07" 60.8014 "Primary Tumor" "TCGA-A7-A6VX" "TCGA-BRCA" 0.821642066058639
"TCGA-A7-A6VY-01A-12R-A33J-07" 27.4489 "Primary Tumor" "TCGA-A7-A6VY" "TCGA-BRCA" 0.821642066058639
"TCGA-A8-A06N-01A-11R-A00Z-07" 58.0728 "Primary Tumor" "TCGA-A8-A06N" "TCGA-BRCA" 0.821642066058639
"TCGA-A8-A06O-01A-11R-A00Z-07" 32.9621 "Primary Tumor" "TCGA-A8-A06O" "TCGA-BRCA" 0.821642066058639
"TCGA-A8-A06P-01A-11R-A00Z-07" 27.0937 "Primary Tumor" "TCGA-A8-A06P" "TCGA-BRCA" 0.821642066058639
"TCGA-A8-A06Q-01A-11R-A034-07" 34.5578 "Primary Tumor" "TCGA-A8-A06Q" "TCGA-BRCA" 0.821642066058639
"TCGA-A8-A06R-01A-11R-A00Z-07" 25.9976 "Primary Tumor" "TCGA-A8-A06R" "TCGA-BRCA" 0.821642066058639
"TCGA-A8-A06T-01A-11R-A00Z-07" 52.817 "Primary Tumor" "TCGA-A8-A06T" "TCGA-BRCA" 0.821642066058639
"TCGA-A8-A06U-01A-11R-A00Z-07" 25.7991 "Primary Tumor" "TCGA-A8-A06U" "TCGA-BRCA" 0.821642066058639
"TCGA-A8-A06X-01A-21R-A00Z-07" 36.3531 "Primary Tumor" "TCGA-A8-A06X" "TCGA-BRCA" 0.821642066058639
